company_name,CEO,Gender
Microsoft,Sataya Nadella,male
Apple,Tim Cook,male
Visa,Alfred Kelly,male
JPMorgan Chase,James Dimon,male
Johnson&Johnson,Alex Gorsky,male
Walmart,Doug Mcmillon,male
Procter&Gamble,David Taylor,male
Intel,Robert Swan,male
UnitedHealth,David Wichmann,male
ExxonMobil,Darren Woods,male
Home Depot,Craig Menear,male
Disney,Bob Chapek,male
CocaCola,James Quincey,male
Verizon,Hans Vestberg,male
Merck,Stefan Oschmann,male
Pfizer,Albert Bourla,male
Chevron,George Lindemann,male
Cisco Systems,Chuck Robbins,male
Boeing,David Calhoun,male
McDonalds,Chris Kempczinski,male
Nike,Mark Parker,male
IBM,Arvin Krihna,male
United Technologies,Gregory Hayes,male
American Express,Stephan Squeri,male
3M,Eduardo Saverin,male
Goldman Sachs,David Solomon,male
Caterpillar,James Umpleby,male
Walgreens Boots,Stefano Pessina,male
Dow,Jim Fitterling,male
Travelers,Alan Schnitzer,male
