Datum,DeltaAnzahlVortag,DeltaTotVortag,DeltaAktivVortag,DeltaTestGesamtVortag,DeltaGeheiltVortag
26.02.2020,1,0,1,0,0
27.02.2020,2,0,2,0,0
28.02.2020,4,0,4,0,0
29.02.2020,1,0,1,0,0
01.03.2020,4,0,4,0,0
02.03.2020,5,0,5,0,0
03.03.2020,6,0,6,0,0
04.03.2020,14,0,14,0,0
05.03.2020,9,0,7,0,2
06.03.2020,29,0,29,0,0
07.03.2020,23,0,23,0,0
08.03.2020,28,0,28,0,0
09.03.2020,22,0,22,0,0
10.03.2020,55,0,53,0,2
11.03.2020,108,0,106,0,2
12.03.2020,99,1,95,0,3
13.03.2020,181,0,181,0,0
14.03.2020,211,1,208,0,2
15.03.2020,198,1,193,0,4
16.03.2020,224,2,210,0,12
17.03.2020,343,2,339,0,2
18.03.2020,375,5,368,0,2
19.03.2020,455,3,448,0,4
20.03.2020,511,5,493,0,13
21.03.2020,543,6,525,0,12
22.03.2020,617,8,589,0,20
23.03.2020,690,12,621,0,57
24.03.2020,726,10,627,0,89
25.03.2020,754,9,652,0,93
26.03.2020,1050,16,875,0,159
27.03.2020,780,20,541,0,219
28.03.2020,594,19,385,0,190
29.03.2020,536,14,268,0,254
30.03.2020,714,21,324,0,369
31.03.2020,565,18,181,0,366
01.04.2020,546,11,197,16834,338
02.04.2020,437,20,35,75356,382
03.04.2020,398,18,-89,6153,469
04.04.2020,258,21,-306,5791,543
05.04.2020,197,22,-168,4282,343
06.04.2020,305,31,-465,2880,739
07.04.2020,293,29,-268,3939,532
08.04.2020,290,17,-351,5520,624
09.04.2020,277,22,-353,5532,608
10.04.2020,357,23,-304,8456,638
11.04.2020,201,17,-220,6232,404
12.04.2020,114,12,-214,3902,316
13.04.2020,86,21,-249,3535,314
14.04.2020,150,13,-424,3384,561
15.04.2020,129,15,-376,5005,490
16.04.2020,112,22,-364,6015,454
17.04.2020,101,13,-342,6456,430
18.04.2020,60,17,-209,6660,252
19.04.2020,47,16,-134,3312,165
20.04.2020,68,9,-327,3705,386
21.04.2020,71,18,-375,6069,428
22.04.2020,75,12,-193,12776,256
23.04.2020,60,6,-194,4041,248
24.04.2020,79,7,-194,6851,266
25.04.2020,62,14,-86,8403,134
26.04.2020,35,9,-79,6542,105
27.04.2020,70,4,-138,4906,204
28.04.2020,50,12,-126,7041,164
29.04.2020,61,6,-120,8176,175
30.04.2020,54,6,-154,8645,202
01.05.2020,37,3,-77,7680,111
02.05.2020,28,2,-53,5540,79
03.05.2020,11,5,-54,4736,60
04.05.2020,30,3,-124,4716,151
05.05.2020,55,3,-72,6812,124
06.05.2020,46,4,-77,6371,119
07.05.2020,37,2,-85,5640,120
08.05.2020,51,5,-121,6175,167
09.05.2020,31,4,-46,7621,73
10.05.2020,14,2,-45,4818,57
11.05.2020,67,2,-27,2976,92
12.05.2020,37,1,-53,9830,89
13.05.2020,52,1,-28,6938,79
14.05.2020,53,3,-24,8354,74
15.05.2020,84,0,12,6745,72
16.05.2020,15,1,-39,6042,53
17.05.2020,26,1,-2,5116,27
18.05.2020,59,2,5,3560,52
19.05.2020,61,1,-11,6366,71
20.05.2020,30,3,-24,7157,51
21.05.2020,31,2,-29,6045,58
22.05.2020,29,3,-24,4851,50
23.05.2020,24,1,-23,5875,46
24.05.2020,31,0,-8,5494,39
25.05.2020,25,1,-35,3484,59
26.05.2020,22,2,-69,5844,89
27.05.2020,50,0,-25,7521,75
28.05.2020,19,0,-62,8666,81
29.05.2020,42,1,-15,6930,56
30.05.2020,32,0,-5,7841,37
31.05.2020,5,0,-30,6391,35
01.06.2020,19,1,-16,3286,34
02.06.2020,16,0,-43,4558,59
03.06.2020,52,3,12,6580,37
04.06.2020,17,2,-33,8508,48
05.06.2020,67,1,39,7983,27
06.06.2020,31,0,7,6463,24
07.06.2020,25,0,-2,3685,27
08.06.2020,24,1,-31,5164,54
09.06.2020,15,2,-15,6160,28
10.06.2020,34,2,-4,5423,36
11.06.2020,22,0,-9,3967,31
12.06.2020,37,0,11,6270,26
13.06.2020,22,1,-5,4395,26
14.06.2020,18,3,-1,3864,16
15.06.2020,53,5,15,2830,33
