Datum,Tageshoch,Tagestief,Schlusspreis,Diff.%,Eröffnungspreis
26.02.2020,2975.71,2889.36,2959.84,-0.35%,2969.7
27.02.2020,2956.44,2817.69,2845.94,-3.85%,2956.44
28.02.2020,2845.33,2710.2,2787.39,-2.06%,2845.33
02.03.2020,2820.24,2729.67,2778.68,-0.31%,2789.64
03.03.2020,2881.47,2779.53,2809.58,1.11%,2779.53
04.03.2020,2845.36,2787.35,2798.52,-0.39%,2810.63
05.03.2020,2830.79,2709.85,2720.96,-2.77%,2799.21
06.03.2020,2720.4,2590.79,2615.56,-3.87%,2720.4
09.03.2020,2614.45,2368.87,2379.93,-9.01%,2614.45
10.03.2020,2510.78,2351.9,2361.41,-0.78%,2378.94
11.03.2020,2431.23,2283.66,2305.95,-2.35%,2363.34
12.03.2020,2302.45,1980.91,1991.22,-13.65%,2302.45
13.03.2020,2141.39,1968.77,2000.76,0.48%,1989.43
16.03.2020,2000.63,1753.62,1791.42,-10.46%,2000.63
17.03.2020,1873.45,1708.46,1768.57,-1.28%,1793.5
18.03.2020,1778.71,1622.95,1630.84,-7.79%,1767.25
19.03.2020,1749.73,1632.13,1705.9,4.6%,1632.42
20.03.2020,1961.04,1706.56,1889.19,10.74%,1706.56
23.03.2020,1924.99,1870.83,1880.82,-0.44%,1888.07
24.03.2020,2064.91,1881.7,2034.3,8.16%,1881.7
25.03.2020,2186.3,1985.06,2017.93,-0.8%,2034.92
26.03.2020,2056.49,1980.09,2056.49,1.91%,2018.14
27.03.2020,2059.21,1975.64,1997.8,-2.85%,2056.57
30.03.2020,2007.25,1932.9,1989.72,-0.4%,2000.86
31.03.2020,2059.59,1975.71,2001.6,0.6%,1989.97
01.04.2020,2000.23,1934.14,1946.19,-2.77%,2000.23
02.04.2020,1992.78,1952.88,1981.68,1.82%,1953.74
03.04.2020,1992.38,1958.38,1964.94,-0.84%,1981.87
06.04.2020,2072.83,1965.68,2046.55,4.15%,1965.68
07.04.2020,2166.36,2050.12,2126.42,3.9%,2050.12
08.04.2020,2142.54,2089.7,2114.34,-0.57%,2126.69
09.04.2020,2188.27,2115.01,2184.06,3.3%,2115.01
14.04.2020,2244.69,2172.34,2172.34,-0.54%,2184.27
15.04.2020,2196.76,2027.61,2048.04,-5.72%,2173.23
16.04.2020,2114.45,2004.94,2006.75,-2.02%,2048.86
17.04.2020,2086.01,2012.66,2070.07,3.16%,2012.66
20.04.2020,2102.64,2047.73,2061.1,-0.43%,2070.95
21.04.2020,2061.2,1991.91,1994.63,-3.22%,2061.12
22.04.2020,2041.67,1994.39,2039.23,2.24%,1994.83
23.04.2020,2120.45,2040.87,2108.81,3.41%,2040.87
24.04.2020,2116.58,2049.95,2094.12,-0.7%,2108.81
27.04.2020,2142.18,2094.54,2115.13,1.00%,2094.54
28.04.2020,2184.77,2105.97,2164.62,2.34%,2115.65
29.04.2020,2255.28,2164.62,2255.28,4.19%,2164.62
30.04.2020,2293.67,2217.89,2227.15,-1.25%,2251.97
04.05.2020,2226.13,2130.79,2144.96,-3.69%,2226.13
05.05.2020,2223.38,2148.19,2197.97,2.47%,2148.19
06.05.2020,2215.23,2180.81,2185.32,-0.58%,2196.44
07.05.2020,2227.67,2185.06,2224.57,1.8%,2185.5
08.05.2020,2250.09,2220.99,2246.5,0.99%,2225.37
11.05.2020,2264.12,2206.19,2226.31,-0.9%,2247.12
12.05.2020,2230.24,2192.65,2200.77,-1.15%,2226.93
13.05.2020,2202.47,2165.08,2165.08,-1.62%,2201
14.05.2020,2164.52,2089.78,2115.97,-2.27%,2164.45
15.05.2020,2157.4,2116.35,2130.85,0.7%,2116.59
18.05.2020,2220.93,2132.18,2209.29,3.68%,2132.18
19.05.2020,2226.84,2093.22,2114.22,-4.3%,2209.24
20.05.2020,2153.42,2081.64,2145.72,1.49%,2114.08
21.05.2020,2146.96,2096.36,2099.53,-2.15%,2145.29
22.05.2020,2147.37,2067.52,2127.47,1.33%,2100.05
25.05.2020,2162.56,2128.63,2152.79,1.19%,2128.63
26.05.2020,2223,2152.79,2214.86,2.88%,2152.79
27.05.2020,2275.5,2215.61,2250.95,1.63%,2215.61
28.05.2020,2287.26,2236.69,2269.13,0.81%,2253.25
29.05.2020,2268.76,2211.09,2232.3,-1.62%,2268.75
02.06.2020,2333.48,2232.06,2308.79,3.43%,2232.06
03.06.2020,2369.4,2308.6,2366.48,2.5%,2309.53
04.06.2020,2395.18,2335.37,2388.91,0.95%,2367.23
05.06.2020,2493.04,2392.19,2485,4.02%,2392.19
08.06.2020,2536.67,2463.64,2512.68,1.11%,2480.87
09.06.2020,2530.63,2405.98,2451.14,-2.45%,2512.92
10.06.2020,2490.8,2377.65,2386.8,-2.62%,2451.14
11.06.2020,2386.26,2267.15,2270.52,-4.87%,2386.26
12.06.2020,2350.47,2231.51,2307.56,1.63%,2271.03
15.06.2020,2306.9,2253.21,2284.06,-1.02%,2306.9
16.06.2020,2399.79,2288.26,2350.8,2.92%,2288.26
17.06.2020,2382.21,2324.1,2340.75,-0.43%,2351.19
18.06.2020,2363.42,2312.31,2326.41,-0.61%,2341.28
19.06.2020,2348.47,2311.07,2318.6,-0.34%,2327.01
22.06.2020,2319.47,2270.8,2279.5,-1.69%,2319.47
23.06.2020,2330.91,2279.25,2309.91,1.33%,2279.25
24.06.2020,2314.41,2224.11,2227.1,-3.58%,2311.54
25.06.2020,2253.28,2152.79,2152.79,-3.34%,2226.92
26.06.2020,2266.46,2153.45,2232.4,3.7%,2153.45
29.06.2020,2251.77,2202.57,2247.8,0.69%,2231.54
30.06.2020,2260.24,2221.52,2246.72,-0.05%,2251.18
01.07.2020,2268.51,2215.4,2254.13,0.33%,2246.8
02.07.2020,2313.26,2254.79,2288.33,1.52%,2254.79
03.07.2020,2296.22,2257.14,2272.78,-0.68%,2287.99
06.07.2020,2351.33,2272.95,2343.05,3.09%,2272.95
07.07.2020,2339.3,2298.38,2317.36,-1.1%,2339.3
08.07.2020,2316.41,2279.72,2289.34,-1.21%,2316.38
09.07.2020,2311.23,2266.2,2266.2,-1.01%,2290.06
10.07.2020,2277.94,2246.34,2277.94,0.52%,2266.2
13.07.2020,2319.49,2280.52,2301.7,1.04%,2289.9
14.07.2020,2306.88,2272.6,2306.56,0.21%,2302.14
15.07.2020,2348.58,2301.92,2332.35,1.12%,2306.81
16.07.2020,2339.68,2310.07,2323.24,-0.39%,2332.35
17.07.2020,2326.43,2287.98,2313.3,-0.43%,2322.63
20.07.2020,2322.09,2288.39,2311.6,-0.07%,2313.33
21.07.2020,2364.27,2311.92,2338.46,1.16%,2313.19
22.07.2020,2356.32,2309.61,2324.18,-0.61%,2338.46
23.07.2020,2329.73,2288.57,2296.87,-1.18%,2321.75
24.07.2020,2295.28,2245.24,2257.36,-1.72%,2295.28
27.07.2020,2257.29,2233.12,2247.47,-0.44%,2254.4
28.07.2020,2271.74,2224.03,2230.41,-0.76%,2248.52
29.07.2020,2247.6,2200.15,2208.05,-1.00%,2230.41
30.07.2020,2217.86,2129.45,2146.9,-2.77%,2207.88
31.07.2020,2189.16,2120.21,2123.55,-1.09%,2146.48
03.08.2020,2157.07,2116.39,2155.1,1.49%,2123.86
04.08.2020,2203.05,2155.52,2193.16,1.77%,2155.52
