Datum,Eröffnungspreis,Tageshoch,Tagestief,Schlusspreis,Diff_pct,Stückumsatz,Marktkapitalisierung,Geldumsatz
26.02.2020,32.24,33.13,31.85,32.96,1.10,2.482.582,14166208000,81.066.592
27.02.2020,32.23,32.28,30.7,31,-5.95,3.093.346,13323800000,96.680.629
28.02.2020,30.00,31.03,29.29,31.03,0.10,4.248.414,13336694000,128.846.202
02.03.2020,30.90,31.6,29.8,30.38,-2.09,2.720.156,13057324000,82.472.632
03.03.2020,31.18,31.18,29.3,29.44,-3.09,2.511.424,12653312000,75.530.691
04.03.2020,29.59,30.01,29.04,29.19,-0.85,3.235.588,12545862000,94.979.957
05.03.2020,29.40,29.67,27.6,27.72,-5.04,5.425.392,11914056000,152.190.926
06.03.2020,26.79,27.3,26.18,26.72,-3.61,4.057.588,11484256000,108.281.119
09.03.2020,24.12,25.5,23.69,24.45,-8.50,4.285.566,10508610000,105.495.484
10.03.2020,24.71,26.5,24.31,24.64,0.78,4.285.198,10590272000,107.744.205
11.03.2020,24.76,25.8,23.88,24.26,-1.54,3.818.738,10426948000,93.784.865
12.03.2020,23.35,23.49,20.91,21.3,-12.20,4.011.678,9154740000,88.252.041
13.03.2020,21.50,23.42,21.32,21.91,2.86,4.253.884,9416918000,94.475.539
16.03.2020,20.55,20.75,18.985,19.2,-12.37,4.539.206,8252160000,87.615.794
17.03.2020,19.72,20.4,17.5,18.2,-5.21,4.621.246,7822360000,84.576.428
18.03.2020,18.25,18.25,15.92,16.225,-10.85,4.457.460,6973505000,73.819.640
19.03.2020,16.22,17.17,16.22,16.375,0.92,3.628.196,7037975000,60.023.110
20.03.2020,17.50,17.885,16.82,17.5,6.87,6.325.334,7521500000,110.241.322
23.03.2020,18.00,18.495,17,17.905,2.31,2.880.532,7695569000,51.200.221
24.03.2020,19.25,20.87,19.025,20.16,12.59,3.744.198,8664768000,75.608.914
25.03.2020,22.00,22.5,19.075,19.265,-4.44,3.647.808,8280097000,73.240.616
26.03.2020,19.00,19.665,18.125,19.665,2.08,3.712.550,8452017000,70.522.774
27.03.2020,18.94,19.215,18.01,18.335,-6.76,3.119.110,7880383000,57.282.954
30.03.2020,18.20,18.2,16.855,17.07,-6.90,3.465.564,7336686000,59.629.868
31.03.2020,17.67,17.8,16.885,16.885,-1.08,4.110.816,7257173000,70.182.546
01.04.2020,16.80,16.91,15.9,15.9,-5.83,2.918.488,6833820000,47.197.586
02.04.2020,16.00,16.24,15.58,15.58,-2.01,3.875.122,6696284000,61.206.820
03.04.2020,15.84,15.9,15.22,15.34,-1.54,2.765.228,6593132000,42.808.177
06.04.2020,15.80,17.1,15.765,16.42,7.04,4.740.088,7057316000,77.726.678
07.04.2020,17.62,18.25,17.59,17.8,8.40,5.351.280,7650440000,95.656.230
08.04.2020,18.00,18,17.16,17.42,-2.13,2.340.026,7487116000,40.885.837
09.04.2020,17.99,18.18,17.675,18.05,3.62,3.098.814,7757890000,55.618.727
14.04.2020,19.13,19.125,18.25,18.385,1.86,2.268.994,7901873000,42.181.223
15.04.2020,18.75,18.78,16.505,16.6,-9.71,4.132.256,7134680000,70.537.096
16.04.2020,17.19,17.635,16.44,16.44,-0.96,2.936.392,7065912000,49.331.223
17.04.2020,17.58,17.7,16.82,17.08,3.89,2.036.462,7340984000,34.941.135
20.04.2020,17.42,17.83,16.85,16.89,-1.11,2.059.764,7259322000,35.075.998
21.04.2020,16.80,16.96,15.925,15.925,-5.71,3.425.904,6844565000,55.312.358
22.04.2020,16.40,16.805,16.18,16.745,5.15,2.148.874,7197001000,35.687.659
23.04.2020,17.00,18.1,16.95,17.815,6.39,3.193.674,7656887000,56.252.615
24.04.2020,17.54,18.055,16.82,17.795,-0.11,2.093.914,7648291000,37.040.268
27.04.2020,18.20,18.565,17.94,18.2,2.28,1.762.568,7822360000,32.192.859
28.04.2020,18.20,19.25,17.905,19.065,4.75,2.959.046,8194137000,55.981.575
29.04.2020,19.22,20.74,19,20.52,7.63,2.908.686,8819496000,58.303.670
30.04.2020,21.00,21.16,19.425,19.825,-3.39,3.236.814,8520785000,65.222.017
04.05.2020,19.28,19.415,18.555,18.825,-5.04,2.198.030,8090985000,41.326.314
05.05.2020,19.70,19.7,18.975,19.25,2.26,2.183.108,8273650000,42.120.727
06.05.2020,19.38,19.38,18.69,18.89,-1.87,1.380.336,8118922000,26.247.921
07.05.2020,18.90,19.24,18.725,19.14,1.32,1.168.800,8226372000,22.236.181
08.05.2020,19.53,19.83,19.055,19.61,2.46,1.020.756,8428378000,19.864.150
11.05.2020,19.84,19.9,19.145,19.695,0.43,1.595.844,8464911000,31.157.467
12.05.2020,19.60,19.8,19.2,19.395,-1.52,1.772.954,8335971000,34.378.552
13.05.2020,19.01,19.06,18.51,18.765,-3.25,2.196.546,8065197000,41.177.000
14.05.2020,18.50,18.7,17.685,17.85,-4.88,2.814.460,7671930000,50.527.051
15.05.2020,18.20,18.535,17.71,17.84,-0.06,2.053.148,7667632000,36.922.308
18.05.2020,18.49,19.085,18.23,18.9,5.94,1.987.248,8123220000,37.171.254
19.05.2020,19.40,19.4,17.935,18.46,-2.33,3.133.900,7934108000,58.145.496
20.05.2020,18.42,18.825,17.84,18.665,1.11,2.580.890,8022217000,47.836.834
21.05.2020,18.39,18.545,17.915,17.915,-4.02,1.978.978,7699867000,35.915.286
22.05.2020,17.82,18.455,17.6,17.95,0.20,2.751.442,7714910000,49.655.517
25.05.2020,18.20,18.25,17.855,18.09,0.78,1.475.682,7775082000,26.624.703
26.05.2020,18.50,19.88,18.5,19.655,8.65,4.179.500,8447719000,80.594.484
27.05.2020,19.71,21.1,19.63,20.88,6.23,4.935.588,8974224000,101.422.741
28.05.2020,21.20,21.2,20.2,20.65,-1.10,2.650.284,8875370000,54.765.189
29.05.2020,20.30,20.4,19.505,19.765,-4.29,7.768.108,8494997000,153.997.571
02.06.2020,20.10,21.84,19.965,21.3,7.77,4.081.460,9154740000,86.347.672
03.06.2020,21.39,22.38,21.35,22.18,4.13,3.210.736,9532964000,70.616.894
04.06.2020,22.22,22.99,21.8,22.92,3.34,2.959.834,9851016000,66.612.974
05.06.2020,23.50,25.07,23.17,24.83,8.33,4.244.628,10671934000,103.719.244
08.06.2020,24.61,25.57,24.33,24.94,0.44,2.947.512,10719212000,73.676.957
09.06.2020,24.97,24.97,22.77,24.16,-3.13,2.771.068,10383968000,66.621.829
10.06.2020,24.00,24.89,23.1,23.29,-3.60,2.027.516,10010042000,47.930.696
11.06.2020,22.44,22.48,21.46,21.73,-6.70,3.179.598,9339554000,69.511.339
12.06.2020,21.41,22.9,21.26,22.5,3.54,3.153.714,9670500000,70.729.908
15.06.2020,22.00,22.72,21.96,22.54,0.18,2.184.762,9687692000,48.983.104
16.06.2020,23.16,23.77,22.95,23.12,2.57,2.158.672,9936976000,50.214.838
17.06.2020,23.37,23.47,22.17,22.5,-2.68,2.345.556,9670500000,53.128.009
18.06.2020,22.47,22.65,21.78,22,-2.22,2.518.946,9455600000,55.666.492
19.06.2020,22.30,22.3,21.42,21.7,-1.36,8.968.236,9326660000,195.128.792
22.06.2020,21.37,21.5,21.09,21.24,-2.12,1.703.378,9128952000,36.171.037
23.06.2020,21.45,22.17,21.4,21.58,1.60,1.714.806,9275084000,37.217.657
24.06.2020,21.57,21.75,20.17,20.27,-6.07,3.748.846,8712046000,77.554.621
25.06.2020,20.14,21.05,19.66,20.86,2.91,3.293.512,8965628000,67.867.819
26.06.2020,20.97,21.13,20.49,20.61,-1.20,1.355.604,8858178000,28.014.349
29.06.2020,20.75,21.28,20.36,21.09,2.33,1.537.930,9064482000,32.332.385
30.06.2020,21.27,21.34,20.5,20.95,-0.66,1.827.658,9004310000,38.200.226
01.07.2020,20.70,21.33,20.56,21.05,0.48,1.382.704,9047290000,29.044.023
02.07.2020,21.29,22.37,21.26,21.91,4.09,2.362.430,9416918000,51.975.177
03.07.2020,22.13,22.14,21.33,21.69,-1.00,922.850,9322362000,20.009.720
06.07.2020,22.46,22.91,22.26,22.7,4.66,1.453.796,9756460000,32.906.341
07.07.2020,22.50,22.51,22.05,22.44,-1.15,1.235.436,9644712000,27.565.383
08.07.2020,22.00,22.27,21.82,22.01,-1.92,1.193.528,9459898000,26.282.205
09.07.2020,22.18,22.34,21.41,21.44,-2.59,1.258.978,9214912000,27.273.374
10.07.2020,21.13,22.24,21.01,22.13,3.22,1.290.686,9511474000,28.047.988
13.07.2020,22.77,22.77,22.11,22.43,1.36,1.395.986,9640414000,31.308.333
14.07.2020,22.08,22.54,21.75,22.42,-0.04,1.223.042,9636116000,27.289.917
15.07.2020,22.51,23.08,21.97,22.78,1.61,2.038.648,9790844000,46.316.191
16.07.2020,22.78,22.8,22.3,22.71,-0.31,1.108.888,9760758000,25.062.615
17.07.2020,22.28,22.52,21.79,22.25,-2.03,1.648.028,9563050000,36.382.038
20.07.2020,22.19,22.24,21.82,22.04,-0.94,843.640,9472792000,18.561.659
21.07.2020,22.44,23.02,22.17,22.28,1.09,1.945.710,9575944000,43.807.483
22.07.2020,22.43,22.72,21.77,22.06,-0.99,1.463.224,9481388000,32.324.640
23.07.2020,21.93,22.15,21.46,21.56,-2.27,1.304.582,9266488000,28.328.987
24.07.2020,21.40,21.46,21,21.1,-2.13,1.250.956,9068780000,26.498.004
27.07.2020,20.95,21.15,20.83,21,-0.47,1.402.918,9025800000,29.440.689
28.07.2020,21.01,21.28,20.79,20.87,-0.62,1.177.544,8969926000,24.676.435
29.07.2020,20.88,20.93,20.24,20.44,-2.06,1.615.776,8785112000,33.070.745
30.07.2020,20.50,20.52,19.42,19.76,-3.33,2.776.382,8492848000,54.840.209
31.07.2020,19.80,20.38,18.78,18.9,-4.35,2.868.548,8123220000,55.231.144
03.08.2020,19.40,19.475,19.115,19.475,3.04,1.439.174,8370355000,27.865.776
04.08.2020,19.60,20.22,19.6,20.03,2.85,2.236.056,8608894000,44.761.661
05.08.2020,20.38,20.47,20.15,20.22,0.95,981.248,8690556000,19.865.460
06.08.2020,20.15,20.34,19.515,19.905,-1.56,1.515.604,8555169000,30.148.391
07.08.2020,19.89,19.91,19.515,19.845,-0.30,1.020.708,8529381000,20.148.090
10.08.2020,20.00,20.39,19.92,20.26,2.09,1.163.324,8707748000,23.560.585
11.08.2020,20.46,21.4,20.35,21.04,3.85,1.723.666,9042992000,36.242.505
12.08.2020,21.08,21.52,20.91,21.01,-0.14,1.534.256,9030098000,32.526.431
13.08.2020,20.85,21.09,20.67,20.78,-1.09,933.468,8931244000,19.447.341
14.08.2020,20.64,20.76,20.26,20.7,-0.38,902.964,8896860000,18.558.872
17.08.2020,20.51,20.8,20.3,20.31,-1.88,835.954,8729238000,17.049.620
18.08.2020,20.15,20.64,20.02,20.28,-0.15,882.204,8716344000,17.941.434
19.08.2020,20.08,20.48,20.08,20.39,0.54,927.980,8763622000,18.869.493
20.08.2020,20.12,20.31,19.95,20.06,-1.62,931.652,8621788000,18.732.611
21.08.2020,20.22,20.31,19.71,19.995,-0.32,985.124,8593851000,19.674.513
24.08.2020,20.30,20.56,20,20.4,2.03,788.532,8767920000,16.037.659
25.08.2020,20.67,21.21,20.5,20.5,0.49,1.327.806,8810900000,27.624.037
26.08.2020,20.67,20.81,20.48,20.68,0.88,558.666,8888264000,11.550.275
27.08.2020,20.75,20.75,20.19,20.3,-1.84,993.148,8724940000,20.210.864
28.08.2020,20.35,21.25,20.27,20.83,2.61,1.910.856,8952734000,39.970.197
31.08.2020,21.08,21.11,20.35,20.38,-2.16,1.177.728,8759324000,24.231.252
01.09.2020,20.36,20.49,20.05,20.38,0.00,1.589.246,8759324000,32.236.832
02.09.2020,20.50,20.64,19.815,19.945,-2.13,1.459.838,8572361000,29.351.106
03.09.2020,20.20,20.58,19.805,19.95,0.03,1.084.778,8574510000,21.804.913
04.09.2020,20.00,20.72,19.925,20.28,1.65,1.958.562,8716344000,40.088.178
07.09.2020,20.54,20.74,20.37,20.49,1.04,891.614,8806602000,18.305.785
08.09.2020,20.66,20.91,20.12,20.3,-0.93,1.577.968,8724940000,32.268.257
09.09.2020,20.05,20.5,20.05,20.35,0.25,1.350.966,8746430000,27.450.520
10.09.2020,20.37,21,20.31,20.61,1.28,2.052.858,8858178000,42.516.931
11.09.2020,20.58,20.69,20.14,20.27,-1.65,1.751.696,8712046000,35.666.900
14.09.2020,20.50,20.62,20.23,20.49,1.09,850.152,8806602000,17.408.184
